frameNo: 267 | Accumulated: 1 | PTS: 108139132969 | PTSInterval: 50166000
frameNo: 268 | Accumulated: 1 | PTS: 108139635213 | PTSInterval: 50225000
frameNo: 269 | Accumulated: 1 | PTS: 108140129630 | PTSInterval: 49442000
frameNo: 270 | Accumulated: 1 | PTS: 108140629451 | PTSInterval: 49982000
frameNo: 271 | Accumulated: 1 | PTS: 108141130108 | PTSInterval: 50065000
frameNo: 272 | Accumulated: 1 | PTS: 108141630925 | PTSInterval: 50082000
frameNo: 273 | Accumulated: 1 | PTS: 108142130783 | PTSInterval: 49986000
frameNo: 274 | Accumulated: 1 | PTS: 108142629270 | PTSInterval: 49849000
frameNo: 275 | Accumulated: 2 | PTS: 108143476298 | PTSInterval: 84702000
frameNo: 277 | Accumulated: 3 | PTS: 108144009262 | PTSInterval: 53297000
frameNo: 280 | Accumulated: 3 | PTS: 108144492444 | PTSInterval: 48318000
frameNo: 283 | Accumulated: 3 | PTS: 108144971874 | PTSInterval: 47943000
frameNo: 286 | Accumulated: 3 | PTS: 108145470005 | PTSInterval: 49813000
frameNo: 289 | Accumulated: 2 | PTS: 108145804451 | PTSInterval: 33445000
frameNo: 291 | Accumulated: 3 | PTS: 108146466311 | PTSInterval: 66186000
frameNo: 294 | Accumulated: 3 | PTS: 108146964697 | PTSInterval: 49838000
frameNo: 297 | Accumulated: 3 | PTS: 108147467693 | PTSInterval: 50300000
frameNo: 300 | Accumulated: 3 | PTS: 108147967355 | PTSInterval: 49966000
frameNo: 303 | Accumulated: 3 | PTS: 108148466368 | PTSInterval: 49901000
frameNo: 306 | Accumulated: 2 | PTS: 108148796966 | PTSInterval: 33060000
frameNo: 308 | Accumulated: 2 | PTS: 108149299965 | PTSInterval: 50300000
frameNo: 310 | Accumulated: 1 | PTS: 108149631876 | PTSInterval: 33191000
frameNo: 311 | Accumulated: 2 | PTS: 108150296246 | PTSInterval: 66437000
frameNo: 313 | Accumulated: 2 | PTS: 108150797739 | PTSInterval: 50149000
frameNo: 315 | Accumulated: 3 | PTS: 108151465335 | PTSInterval: 66760000
frameNo: 318 | Accumulated: 3 | PTS: 108151966638 | PTSInterval: 50130000
frameNo: 321 | Accumulated: 3 | PTS: 108152475962 | PTSInterval: 50933000
frameNo: 324 | Accumulated: 3 | PTS: 108152967267 | PTSInterval: 49130000
frameNo: 327 | Accumulated: 3 | PTS: 108153467288 | PTSInterval: 50002000
frameNo: 330 | Accumulated: 3 | PTS: 108153970091 | PTSInterval: 50281000
frameNo: 333 | Accumulated: 3 | PTS: 108154466127 | PTSInterval: 49603000
frameNo: 336 | Accumulated: 3 | PTS: 108154972501 | PTSInterval: 50638000
frameNo: 339 | Accumulated: 3 | PTS: 108155464350 | PTSInterval: 49185000
frameNo: 342 | Accumulated: 3 | PTS: 108155970758 | PTSInterval: 50640000
frameNo: 345 | Accumulated: 3 | PTS: 108156466960 | PTSInterval: 49621000
frameNo: 348 | Accumulated: 3 | PTS: 108156967970 | PTSInterval: 50101000
frameNo: 351 | Accumulated: 3 | PTS: 108157465649 | PTSInterval: 49767000
frameNo: 354 | Accumulated: 3 | PTS: 108157967075 | PTSInterval: 50143000
frameNo: 357 | Accumulated: 3 | PTS: 108158470418 | PTSInterval: 50334000
frameNo: 360 | Accumulated: 3 | PTS: 108158970680 | PTSInterval: 50027000
frameNo: 363 | Accumulated: 2 | PTS: 108159303826 | PTSInterval: 33314000
frameNo: 365 | Accumulated: 3 | PTS: 108159972745 | PTSInterval: 66892000
frameNo: 368 | Accumulated: 3 | PTS: 108160467836 | PTSInterval: 49509000
frameNo: 371 | Accumulated: 2 | PTS: 108160797412 | PTSInterval: 32958000
frameNo: 373 | Accumulated: 2 | PTS: 108161298854 | PTSInterval: 50144000
frameNo: 375 | Accumulated: 2 | PTS: 108161799430 | PTSInterval: 50058000
frameNo: 377 | Accumulated: 2 | PTS: 108162134410 | PTSInterval: 33498000
frameNo: 379 | Accumulated: 2 | PTS: 108162805792 | PTSInterval: 67138000
frameNo: 381 | Accumulated: 2 | PTS: 108163298139 | PTSInterval: 49234000
frameNo: 383 | Accumulated: 2 | PTS: 108163632867 | PTSInterval: 33473000
frameNo: 385 | Accumulated: 1 | PTS: 108163963471 | PTSInterval: 33061000
frameNo: 386 | Accumulated: 2 | PTS: 108164794464 | PTSInterval: 83099000
frameNo: 388 | Accumulated: 1 | PTS: 108164962792 | PTSInterval: 16833000
frameNo: 389 | Accumulated: 1 | PTS: 108165463237 | PTSInterval: 50044000
frameNo: 390 | Accumulated: 1 | PTS: 108165962943 | PTSInterval: 49971000
frameNo: 391 | Accumulated: 1 | PTS: 108166463086 | PTSInterval: 50014000
frameNo: 392 | Accumulated: 3 | PTS: 108167299646 | PTSInterval: 83656000
frameNo: 395 | Accumulated: 2 | PTS: 108167796678 | PTSInterval: 49703000
frameNo: 397 | Accumulated: 2 | PTS: 108168297455 | PTSInterval: 50078000
frameNo: 399 | Accumulated: 2 | PTS: 108168797711 | PTSInterval: 50026000
frameNo: 401 | Accumulated: 2 | PTS: 108169130504 | PTSInterval: 33279000
frameNo: 403 | Accumulated: 2 | PTS: 108169630197 | PTSInterval: 49969000
frameNo: 405 | Accumulated: 2 | PTS: 108170296968 | PTSInterval: 66677000
